date,amfi_code,scheme_name,nav
2020-10-19,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.7933
2020-10-20,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.7148
2020-10-21,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.7626
2020-10-22,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.9264
2020-10-23,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.4167
2020-10-24,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.4167
2020-10-25,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.4167
2020-10-26,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.1467
2020-10-27,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.2905
2020-10-28,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.1264
2020-10-29,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.8738
2020-10-30,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.0422
2020-10-31,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.0422
2020-11-01,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.0422
2020-11-02,125497.0,SBI Small Cap Fund - Direct Plan - Growth,63.9582
2020-11-03,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.2757
2020-11-04,125497.0,SBI Small Cap Fund - Direct Plan - Growth,64.6703
2020-11-05,125497.0,SBI Small Cap Fund - Direct Plan - Growth,65.3632
2020-11-06,125497.0,SBI Small Cap Fund - Direct Plan - Growth,65.761
2020-11-07,125497.0,SBI Small Cap Fund - Direct Plan - Growth,65.761
2020-11-08,125497.0,SBI Small Cap Fund - Direct Plan - Growth,65.761
2020-11-09,125497.0,SBI Small Cap Fund - Direct Plan - Growth,66.5707
2020-11-10,125497.0,SBI Small Cap Fund - Direct Plan - Growth,66.4961
2020-11-11,125497.0,SBI Small Cap Fund - Direct Plan - Growth,66.6685
2020-11-12,125497.0,SBI Small Cap Fund - Direct Plan - Growth,67.0874
2020-11-13,125497.0,SBI Small Cap Fund - Direct Plan - Growth,67.8975
2020-11-14,125497.0,SBI Small Cap Fund - Direct Plan - Growth,67.8975
2020-11-15,125497.0,SBI Small Cap Fund - Direct Plan - Growth,67.8975
2020-11-16,125497.0,SBI Small Cap Fund - Direct Plan - Growth,67.8975
2020-11-17,125497.0,SBI Small Cap Fund - Direct Plan - Growth,69.2585
2020-11-18,125497.0,SBI Small Cap Fund - Direct Plan - Growth,70.0787
2020-11-19,125497.0,SBI Small Cap Fund - Direct Plan - Growth,70.3257
2020-11-20,125497.0,SBI Small Cap Fund - Direct Plan - Growth,70.6897
2020-11-21,125497.0,SBI Small Cap Fund - Direct Plan - Growth,70.6897
2020-11-22,125497.0,SBI Small Cap Fund - Direct Plan - Growth,70.6897
2020-11-23,125497.0,SBI Small Cap Fund - Direct Plan - Growth,71.3108
2020-11-24,125497.0,SBI Small Cap Fund - Direct Plan - Growth,72.0394
2020-11-25,125497.0,SBI Small Cap Fund - Direct Plan - Growth,71.2859
2020-11-26,125497.0,SBI Small Cap Fund - Direct Plan - Growth,71.4394
2020-11-27,125497.0,SBI Small Cap Fund - Direct Plan - Growth,73.1105
2020-11-28,125497.0,SBI Small Cap Fund - Direct Plan - Growth,73.1105
