date,amfi_code,scheme_name,nav
2013-04-29,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3398
2013-04-30,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3503
2013-05-01,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3503
2013-05-02,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3834
2013-05-03,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3656
2013-05-04,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3656
2013-05-05,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3656
2013-05-06,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.3995
2013-05-07,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4319
2013-05-08,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4751
2013-05-09,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4968
2013-05-10,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4982
2013-05-11,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4982
2013-05-12,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4982
2013-05-13,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.4879
2013-05-14,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5705
2013-05-15,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5899
2013-05-16,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5827
2013-05-17,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5851
2013-05-18,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5851
2013-05-19,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5851
2013-05-20,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5989
2013-05-21,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5881
2013-05-22,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.5981
2013-05-23,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.6113
2013-05-24,120841.0,quant Mid Cap Fund - Growth Option - Direct Plan,31.6135
