date,amfi_code,scheme_name,nav
2024-08-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5449.5862
2024-08-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5452.8782
2024-08-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5454.3508
2024-08-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5455.8625
2024-08-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5457.1012
2024-08-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5458.18
2024-08-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5458.18
2024-08-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5458.18
2024-08-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5461.0959
2024-08-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5461.7292
2024-08-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5462.7689
2024-08-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5463.5324
2024-08-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5464.4471
2024-08-31,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5464.4471
2024-09-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5464.4471
2024-09-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5467.6346
2024-09-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5468.8173
2024-09-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5469.7871
2024-09-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5470.9194
2024-09-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5471.7431
2024-09-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5471.7431
2024-09-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5471.7431
2024-09-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5475.0575
2024-09-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5475.9756
2024-09-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5477.0398
2024-09-12,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5477.9222
2024-09-13,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5479.344
2024-09-14,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5479.344
2024-09-15,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5479.344
2024-09-16,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5482.4736
2024-09-17,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5483.7926
2024-09-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5483.7926
2024-09-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5486.1019
2024-09-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5487.3347
2024-09-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5487.3347
2024-09-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5487.3347
2024-09-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5490.5892
2024-09-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5491.7099
2024-09-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5492.655
2024-09-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5493.8571
2024-09-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5495.2936
2024-09-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5495.2936
2024-09-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5495.2936
2024-09-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5500.7013
2024-10-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5501.9906
2024-10-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5501.9906
2024-10-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5504.5299
2024-10-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5506.0251
2024-10-05,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5506.0251
2024-10-06,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5506.0251
2024-10-07,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5509.299
2024-10-08,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5510.3208
2024-10-09,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5511.8431
2024-10-10,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5512.9468
2024-10-11,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5514.3907
2024-10-12,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5514.3907
2024-10-13,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5514.3907
2024-10-14,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5517.3612
2024-10-15,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5518.1759
2024-10-16,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5519.2375
2024-10-17,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5520.2522
2024-10-18,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5521.333
2024-10-19,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5521.333
2024-10-20,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5521.333
2024-10-21,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5524.1631
2024-10-22,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5525.1776
2024-10-23,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5526.2009
2024-10-24,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5527.3884
2024-10-25,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5528.4234
2024-10-26,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5528.4234
2024-10-27,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5528.4234
2024-10-28,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5531.4854
2024-10-29,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5532.5972
2024-10-30,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5533.6549
2024-10-31,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5535.049
2024-11-01,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5535.049
2024-11-02,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5535.049
2024-11-03,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5535.049
2024-11-04,119092.0,HDFC Money Market Fund - Growth Option - Direct Plan,5539.5214
